cha taehyun	song hyegyo
sial , aku tidak bisa melihat mereka .	hai , kamu .
hai , kamu .	strike !
strike !	kamu belum meciumnya ?
kamu belum meciumnya ?	dia bahkan belum memegang tangannya .
dia bahkan belum memegang tangannya .	strike !
strike !	bisakah kalian diam ?
bisakah kalian diam ?	aku tidak bisa konsentrasi .
aku tidak bisa konsentrasi .	kamu belum memegang tangannya ?
kamu belum memegang tangannya ?	tangkap saja bolanya .
tangkap saja bolanya .	kamu tahu berapa pria yang menyukainya ?
kamu tahu berapa pria yang menyukainya ?	sanggyu dari klub baseball , dan ketua osis minsoo .
sanggyu dari klub baseball , dan ketua osis minsoo .	hoontae dari klub sastra , hyesung , seongjin ...
hoontae dari klub sastra , hyesung , seongjin ...	jangan sampai lengah .
jangan sampai lengah .	apa ?
apa ?	hai , lihat kemana kamu melempar ...
hai , lihat kemana kamu melempar ...	kamu pernah melihat batu jodoh ?
kamu pernah melihat batu jodoh ?	batu di pulau kabut ?
batu di pulau kabut ?	itu sungguh batu ajaib , kamu tahu kakak keduaku ?
itu sungguh batu ajaib , kamu tahu kakak keduaku ?	seperti yang kamu tahu , seperti saudara perempuan suho , dia bukanlah pecinta yang handal
seperti yang kamu tahu , seperti saudara perempuan suho , dia bukanlah pecinta yang handal	batu itu pasti ajaib .
batu itu pasti ajaib .	dukun terkenal menunjukkan batu itu .
dukun terkenal menunjukkan batu itu .	dia bilang pada kakakku untuk berdoa di depan batu itu .
dia bilang pada kakakku untuk berdoa di depan batu itu .	lalu ?
lalu ?	kamu tahu sifatnya ?
kamu tahu sifatnya ?	dia bergegas menuju kesana .
dia bergegas menuju kesana .	apa yang terjadi ?
apa yang terjadi ?	kakak bertemu dengannya !
kakak bertemu dengannya !	siapa ?
siapa ?	kakak iparku !
kakak iparku !	ini benar benar misterius .
ini benar benar misterius .	membuka mata setelah berdoa di depan batu itu , dia melihat seorang pria .
membuka mata setelah berdoa di depan batu itu , dia melihat seorang pria .	dan ?
dan ?	dan dia bilang , kamu memiliki mata rusa .
dan dia bilang , kamu memiliki mata rusa .	rusa !
rusa !	batu jodoh ?
batu jodoh ?	kami berangkat hari sabtu setelah sekolah bubar .
kami berangkat hari sabtu setelah sekolah bubar .	kami akan menginap semalam dan pulang hari minggu ,
kami akan menginap semalam dan pulang hari minggu ,	kamu bisa ikut ?
kamu bisa ikut ?	siapa saja yang pergi ?
siapa saja yang pergi ?	seongjin , hyeseong , jonggu , dan pacarnya jonggu .
seongjin , hyeseong , jonggu , dan pacarnya jonggu .	jonggu punya pacar ?
jonggu punya pacar ?	miyoung .
miyoung .	mereka berkencan lagi .
mereka berkencan lagi .	aku akan minta ijin ibuku .
aku akan minta ijin ibuku .	dimana mereka ?
dimana mereka ?	kenapa kamu dirumah ?
kenapa kamu dirumah ?	kapalnya berangkat menit lagi .
kapalnya berangkat menit lagi .	kami tidak pergi .
kami tidak pergi .	apa ?
apa ?	kami sudah bicarakan , dan memutuskan tidak ikut untuk kebaikanmu .
kami sudah bicarakan , dan memutuskan tidak ikut untuk kebaikanmu .	kamu senang ?
kamu senang ?	apa kamu gila ?
apa kamu gila ?	jangan purapura tidak suka .
jangan purapura tidak suka .	carilah alasan , dan jangan gagap .
carilah alasan , dan jangan gagap .	ada masalah ?
ada masalah ?	tidak ada ...
tidak ada ...	mereka tidak datang ?
mereka tidak datang ?	umm , sepertinya terjadi sesuatu .
umm , sepertinya terjadi sesuatu .	anjing ...
anjing ...	seongjin punya anak anjing ,
seongjin punya anak anjing ,	maksudku anjingnya punya anak ...
maksudku anjingnya punya anak ...	jonggu , atap ... rumahnya bocor , jadi dia harus memperbaikinya .
jonggu , atap ... rumahnya bocor , jadi dia harus memperbaikinya .	sekarang tidak hujan .
sekarang tidak hujan .	oh ?
oh ?	kamu benar ...
kamu benar ...	ini akalakalan .
ini akalakalan .	kamu sudah merencanakannya , benar ?
kamu sudah merencanakannya , benar ?	tidak , bukan begitu ...
tidak , bukan begitu ...	kamu pikir aku ...
kamu pikir aku ...	kamu ...
kamu ...	dua tiket untuk keberangkatan jam dua .
dua tiket untuk keberangkatan jam dua .	iya .
iya .	sueun !
sueun !	kamu sedang apa ?
kamu sedang apa ?	apa yang kamu doakan ?
apa yang kamu doakan ?	bagaimana denganmu ?
bagaimana denganmu ?	kamu bilang dulu .
kamu bilang dulu .	tidak , kamu duluan .
tidak , kamu duluan .	kami lakukan bersamasama ?
kami lakukan bersamasama ?	satu , dua , tiga ...
satu , dua , tiga ...	semoga tiap hari bisa seperti ini !
semoga tiap hari bisa seperti ini !	pembawa sial !
pembawa sial !	kamu mengenaiku .
kamu mengenaiku .	dia sangat cantik ,
dia sangat cantik ,	apa kalian pengantin baru ?
apa kalian pengantin baru ?	apa ?
apa ?	iya .
iya .	hiduplah dengan baik , dan jangan bertengkar .
hiduplah dengan baik , dan jangan bertengkar .	iya , nyonya !
iya , nyonya !	sepertinya dia tidak bisa melihat dengan baik .
sepertinya dia tidak bisa melihat dengan baik .	itulah yang terjadi saat kamu sudah tua .
itulah yang terjadi saat kamu sudah tua .	sepertinya pendengarannya bagus .
sepertinya pendengarannya bagus .	iya , hanya telingaku .
iya , hanya telingaku .	semuanya terlalu bising .
semuanya terlalu bising .	saat kamu tua lebih baik mati .
saat kamu tua lebih baik mati .	lebih baik mati .
lebih baik mati .	kamu mau lagi ?
kamu mau lagi ?	silakan ambil sendiri .
silakan ambil sendiri .	malam ini , bintang pun tidur .
malam ini , bintang pun tidur .	kamu memandang laut sendirian ...
kamu memandang laut sendirian ...	ombak menari tarian kesepian ...
ombak menari tarian kesepian ...	aku memikirkan tentang ...
aku memikirkan tentang ...	barang hilang ?
barang hilang ?	barangbarang yang tertinggal ?
barangbarang yang tertinggal ?	sayangku , apa kamu lupa wajah dan hatiku ?
sayangku , apa kamu lupa wajah dan hatiku ?	apa angin yang dingin menghapus cintamu ?
apa angin yang dingin menghapus cintamu ?	semuanya sama seperti sebelumnya , dan tidak alasan untuk sesuatu untuk berubah .
semuanya sama seperti sebelumnya , dan tidak alasan untuk sesuatu untuk berubah .	tapi yang membuatku merindukanmu adalah mimpi di malam musim panas ...
tapi yang membuatku merindukanmu adalah mimpi di malam musim panas ...	hujan ini mengingatkanku sesuatu .
hujan ini mengingatkanku sesuatu .	saat ayah dan nenekku masih hidup ,
saat ayah dan nenekku masih hidup ,	tukang pijat buta sering datang kerumahku .
tukang pijat buta sering datang kerumahku .	sepertinya usianya menginjak an .
sepertinya usianya menginjak an .	dia buta sejak lahir .
dia buta sejak lahir .	suatu hari dia bertanya .
suatu hari dia bertanya .	suho , apa hujan jatuh dalam tetesan .
suho , apa hujan jatuh dalam tetesan .	atau untaian seperti benang ?
atau untaian seperti benang ?	lalu apa jawabanmu ?
lalu apa jawabanmu ?	hujan jatuh dalam tetesan .
hujan jatuh dalam tetesan .	tetes demi tetes .
tetes demi tetes .	oh , jadi tetesan ...
oh , jadi tetesan ...	malam itu , aku khawatir tentang hujan yang jatuh seperti untaian .
malam itu , aku khawatir tentang hujan yang jatuh seperti untaian .	aku masih ragu .
aku masih ragu .	bagaimana hujan jatuh ?
bagaimana hujan jatuh ?	dalam untaian ...
dalam untaian ...	dalam tetesan ...
dalam tetesan ...	kapan aku bisa tahu ?
kapan aku bisa tahu ?	kamu sedang apa ?
kamu sedang apa ?	kamu tidak bisa tidur ?
kamu tidak bisa tidur ?	iya .
iya .	hujannya berhenti .
hujannya berhenti .	di tengah pusaran angin topan , tidak ada hujan atau angin , hanya kesunyian .
di tengah pusaran angin topan , tidak ada hujan atau angin , hanya kesunyian .	lalau , apa kami ada di tengah pusaran angin topan ?
lalau , apa kami ada di tengah pusaran angin topan ?	cantik .
cantik .	berapa kemungkinan kami melihat sesuatu seperti ini ?
berapa kemungkinan kami melihat sesuatu seperti ini ?	berapa kemungkinannya kami bisa bertemu lagi ?
berapa kemungkinannya kami bisa bertemu lagi ?	sama dengan kemungkinan melihat bintang saat terjadi topan .
sama dengan kemungkinan melihat bintang saat terjadi topan .	aku sudah putuskan .
aku sudah putuskan .	aku akan menangis untukmu , tertawa untukmu , dan hidup untukmu .
aku akan menangis untukmu , tertawa untukmu , dan hidup untukmu .	kamu adalah pusat duniaku .
kamu adalah pusat duniaku .	kamu mudah tersinggung , pencemburu , kaku dan gagap saat kamu bohong ,
kamu mudah tersinggung , pencemburu , kaku dan gagap saat kamu bohong ,	tapi aku suka itu semua .
tapi aku suka itu semua .	semoga kami bisa tinggal disini selamanya .
semoga kami bisa tinggal disini selamanya .	sueun !
sueun !	sueun !
sueun !	sueun !
sueun !	sueun !
sueun !	bertahanlah .
bertahanlah .	aku baikbaik saja .
aku baikbaik saja .	kamu tidak baik .
kamu tidak baik .	ayo pulang .
ayo pulang .	bangun .
bangun .	maafkan aku .
maafkan aku .	diantara sejarah puisi korea , tidak ada yang bisa dibandingkan dengan shijo , dicintai orang
diantara sejarah puisi korea , tidak ada yang bisa dibandingkan dengan shijo , dicintai orang	maaf !
maaf !	bumi dilindungi oleh fantastic four , dan bae sueun dilindungi oleh kim suho .
bumi dilindungi oleh fantastic four , dan bae sueun dilindungi oleh kim suho .	putri anaemia , tolong terima tawaranku .
putri anaemia , tolong terima tawaranku .	otakku kecil , tapi aku punya banyak darah , maka aku akan jadi darahmu .
otakku kecil , tapi aku punya banyak darah , maka aku akan jadi darahmu .	kamu tahu kakek buyutku ?
kamu tahu kakek buyutku ?	kurasa tidak .
kurasa tidak .	dia mengobati orang yang sedang sakit .
dia mengobati orang yang sedang sakit .	sebenarnya , kakekku adalah kepala rumah sakit ini .
sebenarnya , kakekku adalah kepala rumah sakit ini .	kamar yang bagus , iya ?
kamar yang bagus , iya ?	oh iya tuhan !
oh iya tuhan !	oh , kakek , kamu sedang ronda ?
oh , kakek , kamu sedang ronda ?	aku suka langit .
aku suka langit .	awan , juga .
awan , juga .	dan matahari tenggelam .
dan matahari tenggelam .	dan pelangi diatas langit .
dan pelangi diatas langit .	dan kamu ?
dan kamu ?	aku suka seragam sekolah .
aku suka seragam sekolah .	aku pasti gila .
aku pasti gila .	kenapa mereka sangat cantik ?
kenapa mereka sangat cantik ?	aku benci bau amis ikan dari ibuku .
aku benci bau amis ikan dari ibuku .	yang paling kubenci adalah makanan berbahan dasar ikan .
yang paling kubenci adalah makanan berbahan dasar ikan .	saat ikanikan itu menatapku dari meja , itu menakutkan .
saat ikanikan itu menatapku dari meja , itu menakutkan .	aku benci jarum .
aku benci jarum .	tidak bisakah aku meminumnya saja ?
tidak bisakah aku meminumnya saja ?	apa yang ibu mimpikan ?
apa yang ibu mimpikan ?	hal paling sedih ketika melihat ibu tidur dari belakang .
hal paling sedih ketika melihat ibu tidur dari belakang .	bagiku hal paling menyedihkan ...
bagiku hal paling menyedihkan ...	bahkan jika ada donor sumsum dan melakukan operasi ...
bahkan jika ada donor sumsum dan melakukan operasi ...	bagiku hal paling menyedihkan ...
bagiku hal paling menyedihkan ...	pergi kemana kamu ?
pergi kemana kamu ?	rumah sakit ?
rumah sakit ?	aku tidak boleh terlalu sering kesana .
aku tidak boleh terlalu sering kesana .	ayahnya tidak suka aku datang .
ayahnya tidak suka aku datang .	jadi kapan dia keluar ?
jadi kapan dia keluar ?	sepertinya akan lama untuk anaemia .
sepertinya akan lama untuk anaemia .	apa yang kamu lakukan di pulau ?
apa yang kamu lakukan di pulau ?	apa kamu mendapat sial disana ?
apa kamu mendapat sial disana ?	apa yang kamu lakukan ?
apa yang kamu lakukan ?	kamu menyembunyikan sesuatu dari kami .
kamu menyembunyikan sesuatu dari kami .	apa benar kamu hanya menciumnya ?
apa benar kamu hanya menciumnya ?	hanya berciuman ?
hanya berciuman ?	hai , ada apa ?
hai , ada apa ?	apa yang kamu lakukan ?
apa yang kamu lakukan ?	lantai berapa ?
lantai berapa ?	lantai dua .
lantai dua .	kami beli minuman dulu .
kami beli minuman dulu .	baik .
baik .	mana pasien dari kamar ?
mana pasien dari kamar ?	siapa ?
siapa ?	dari kamar .
dari kamar .	bae sueun .
bae sueun .	bae sueun hilang pagi tadi .
bae sueun hilang pagi tadi .	kemana dia pergi ?
kemana dia pergi ?	aku tidak tahu .
aku tidak tahu .	bawa ini ke bagian kesehatan anak .
bawa ini ke bagian kesehatan anak .	pasien hilang ?
pasien hilang ?	siapa ?
siapa ?	bae sueun dari kamar .
bae sueun dari kamar .	pasien leukemia ?
pasien leukemia ?	jadi ini rasanya .
jadi ini rasanya .	suho !
suho !	senang ?
senang ?	apa kamu senang ?
apa kamu senang ?	!
!	suho ...
suho ...	suho ...
suho ...	suho ...
suho ...	maafkan aku .
maafkan aku .	suho , maafkan aku .
suho , maafkan aku .	suho .
suho .	iya .
iya .	saat aku panggil , apa kamu akan selalu menjawab ?
saat aku panggil , apa kamu akan selalu menjawab ?	suho .
suho .	iya .
iya .	suho ...
suho ...	iya .
iya .	ayah , pulang lebih cepat hari ini .
ayah , pulang lebih cepat hari ini .	aku akan masak sup ikan kesukaanmu .
aku akan masak sup ikan kesukaanmu .	baik .
baik .	tenanglah .
tenanglah .	dah .
dah .	oh , selamat datang .
oh , selamat datang .	aku mencari tn .
aku mencari tn .	kim mangeum .
kim mangeum .	iya , itu aku .
iya , itu aku .	kamu seperti yang kudengar .
kamu seperti yang kudengar .	ibuku menyimpan ini lama sekali .
ibuku menyimpan ini lama sekali .	dia ingin melihatmu untuk terakhir kalinya .
dia ingin melihatmu untuk terakhir kalinya .	dan jika kamu tidak keberatan , aku ingin kamu menyiapkan pemakamannya .
dan jika kamu tidak keberatan , aku ingin kamu menyiapkan pemakamannya .	apa dia pergi dengan tenang ?
apa dia pergi dengan tenang ?	tidak sulit .
tidak sulit .	dia pergi dengan tenang .
dia pergi dengan tenang .	jika saja kami bertemu lebih awal .
jika saja kami bertemu lebih awal .	kenapa begitu sulit bagi kami untuk bertemu ?
kenapa begitu sulit bagi kami untuk bertemu ?	terima kasih .
terima kasih .	jadi kamu juga tidak melupakanku .
jadi kamu juga tidak melupakanku .	maaf aku tidak pernah membelikanmu pakaian saat kamu masih hidup .
maaf aku tidak pernah membelikanmu pakaian saat kamu masih hidup .	aku membuat ini sendiri , tolong terimalah .
aku membuat ini sendiri , tolong terimalah .	di dunia lain , mari bertemu lagi , dan jangan berpisah .
di dunia lain , mari bertemu lagi , dan jangan berpisah .	tunggulah .
tunggulah .	aku akan segera menyusulmu .
aku akan segera menyusulmu .	sueun ,
sueun ,	hari ini cinta kakek terwujud .
hari ini cinta kakek terwujud .	akhirnya dia bertemu soonim .
akhirnya dia bertemu soonim .	seperti kamu bilang , orang saling mencintai bisa bertemu lagi bahkan setelah meninggal .
seperti kamu bilang , orang saling mencintai bisa bertemu lagi bahkan setelah meninggal .	sepertinya takdir itu tidak semudah yang kuperkirakan .
sepertinya takdir itu tidak semudah yang kuperkirakan .	soonim juga merindukan kakek .
soonim juga merindukan kakek .	menurutmu apa kami bisa seperti kakek ?
menurutmu apa kami bisa seperti kakek ?	putri anaemia !
putri anaemia !	aku ada dalam kutukan ratu .
aku ada dalam kutukan ratu .	bagaimana aku bisa menghilangkan kutukan ini ?
bagaimana aku bisa menghilangkan kutukan ini ?	aku harus dicium oleh pangeran .
aku harus dicium oleh pangeran .	sebentar , sueun .
sebentar , sueun .	bodoh .
bodoh .	kami tidak bisa melakukannya langsung .
kami tidak bisa melakukannya langsung .	tetap saja .
tetap saja .	siapa namamu ?
siapa namamu ?	kim suho .
kim suho .	silakan duduk .
silakan duduk .	apa yang paling kamu suka dari sueun ?
apa yang paling kamu suka dari sueun ?	dia cantik , benar ?
dia cantik , benar ?	iya .
iya .	dia sangat cantik .
dia sangat cantik .	aku tidak mengatakan ini hanya karena dia putriku .
aku tidak mengatakan ini hanya karena dia putriku .	melihat semua ini , banyak hal sedih .
melihat semua ini , banyak hal sedih .	bahwa dia sangat cantik , dan bahwa aku tidak bisa melakukan lebih untuknya .
bahwa dia sangat cantik , dan bahwa aku tidak bisa melakukan lebih untuknya .	dia masih sangat muda .
dia masih sangat muda .	tidak ada yang bisa kulakukan untuknya .
tidak ada yang bisa kulakukan untuknya .	jika ada yang bisa kamu lakukan untuknya , tolong lakukanlah .
jika ada yang bisa kamu lakukan untuknya , tolong lakukanlah .	ibu .
ibu .	bagaimana kamu menghadapinya ?
bagaimana kamu menghadapinya ?	apa ?
apa ?	saat ayah meninggal ...
saat ayah meninggal ...	apa ibu tidak rindu ?
apa ibu tidak rindu ?	apa kamu sudah gila ?
apa kamu sudah gila ?	kenapa tibatiba ?
kenapa tibatiba ?	tentu saja , kadang aku memikirkannya .
tentu saja , kadang aku memikirkannya .	aku merindukan dia .
aku merindukan dia .	ditinggalkan sama menakutkannya dengan meninggalkan .
ditinggalkan sama menakutkannya dengan meninggalkan .	kamu ...
kamu ...	aku bisa ingat , tapi siapa yang akan mengingatku ?
aku bisa ingat , tapi siapa yang akan mengingatku ?	saat aku menghilang , semua orang yang kukenal akan mengingatku .
saat aku menghilang , semua orang yang kukenal akan mengingatku .	tapi seiring waktu berlalu ,
tapi seiring waktu berlalu ,	hanya teman baikku , orang tua , dan kamu yang akan mengingatku .
hanya teman baikku , orang tua , dan kamu yang akan mengingatku .	dan semakin lama waktu berlalu , siapa yang akan ingat ?
